"price","types","address","latitude","longitude","date","beds","baths","sq.","bath","reception","receptions","bed","TotalBeds","TotalBaths","TotalReceptions","FlatType"
460000,"2 bed flat for sale ","Chiswick High Road, London W4",51.490654,-0.284035,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"flat "
6e+05,"4 bed property for sale ","Becket Close, Woodford Green IG8",51.59912,0.054454,2021-09-02,"4","3",NA,"0","1","0","0",4,3,1,"property "
4e+05,"1 bed flat for sale ","121 East Ferry Road, London E14",51.496372,-0.013973,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
375000,"1 bed flat for sale ","Henfield Road, London SW19",51.412308,-0.208848,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
350000,"1 bed flat for sale ","Hamlet Gardens, London W6",51.494013,-0.241487,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
191250,"2 bed flat for sale ","Chancery Building, Wandsworth, London SW11",51.481577,-0.135498,2021-09-02,"2","0","807","1","0","0","0",2,1,0,"flat "
475000,"2 bed flat for sale ","Denmark Hill, London SE5",51.461101,-0.094043,2021-09-02,"2","0",NA,"1","0","0","0",2,1,0,"flat "
840000,"2 bed flat for sale ","Pinto Tower, Nine Elms Point, Nine Elms SW8",51.48153,-0.127924,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"flat "
615000,"2 bed flat for sale ","Bollo Lane, Acton, London W3",51.501862,-0.278201,2021-09-02,"2","2","798","0","0","0","0",2,2,0,"flat "
485000,"1 bed flat for sale ","Bollo Lane, Acton, London W3",51.501862,-0.278201,2021-09-02,"0","0","535","1","0","0","1",1,1,0,"flat "
1175000,"4 bed terraced house for sale ","Brocklebank Road, Earlsfield SW18",51.449462,-0.185756,2021-09-02,"4","2","1,345","0","1","0","0",4,2,1,"terraced house "
1550000,"5 bed detached house for sale ","Cole Park Gardens, Twickenham TW1",51.457433,-0.328129,2021-09-02,"5","3",NA,"0","0","3","0",5,3,3,"detached house "
1400000,"4 bed semi-detached house for sale ","Atbara Road, Teddington TW11",51.424447,-0.318525,2021-09-02,"4","0",NA,"1","0","2","0",4,1,2,"semi-detached house "
769000,"2 bed flat for sale ","Lakeside Drive, Park Royal, London NW10",51.531087,-0.285801,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"flat "
690000,"3 bed flat for sale ","Bollo Lane, Acton, London W3",51.501862,-0.278201,2021-09-02,"3","2","1,051","0","0","0","0",3,2,0,"flat "
525000,"5 bed semi-detached house for sale ","Totnes Road, Welling DA16",51.474587,0.114884,2021-09-02,"5","0",NA,"1","0","2","0",5,1,2,"semi-detached house "
5e+05,"2 bed flat for sale ","Sydney Road, Enfield EN2",51.649114,-0.081239,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"flat "
450000,"3 bed maisonette for sale ","Lordship Lane, London N22",51.598354,-0.096573,2021-09-02,"3","0",NA,"1","1","0","0",3,1,1,"maisonette "
685000,"3 bed flat for sale ","Bollo Lane, Acton, London W3",51.501862,-0.278201,2021-09-02,"3","2","1,051","0","0","0","0",3,2,0,"flat "
995000,"4 bed town house for sale ","Sir Alexander Close, Acton W3",51.508399,-0.249145,2021-09-02,"4","3","2,500","0","1","0","0",4,3,1,"town house "
750000,"2 bed flat for sale ","Pilot Walk, London SE10",51.497588,0.012385,2021-09-02,"2","2","790","0","1","0","0",2,2,1,"flat "
